window,train_MAE,train_MAPE,train_RMSE,test_MAE,test_MAPE,test_RMSE
1,0.22523477024006744,0.3074837495400965,0.28929090650725414,0.2308822066083177,0.3209356321971742,0.3009851732619658
3,0.20532245957712514,0.27439816421198365,0.26632145200968116,0.21829792573169457,0.2928167973766474,0.2804955195170861
6,0.2239681296808283,0.2975944601142627,0.28524303682294055,0.23021855770043348,0.3066027415874331,0.29090382082245014
12,0.19991005538979775,0.2511398823409127,0.25993341954101085,0.24808836983169127,0.31098489711533533,0.31454180947517635
15,0.19182596811240057,0.24609822985408994,0.2508677191267347,0.24118489445003616,0.3045822513802266,0.31105952563776157
24,0.21085885149667252,0.30625331080264995,0.27171178325837075,0.24361929924563827,0.34574696941725686,0.31812330272473754
48,0.15098725440971425,0.20407119080651592,0.2171230262794429,0.2621162807070474,0.3517081202277627,0.33207399028247253
96,0.16338191953756162,0.22863740103602828,0.2619081754652752,0.2912768861921435,0.39042768644587755,0.34800477390046886
120,0.2925796691349574,0.29324715568856785,0.39954875278716173,0.47284603534145886,0.41597297110317494,0.5514620072826857
